cell_id,row,col,lst_celsius,ndvi,building_density,impervious_pct,population
0_0,0,0,32.73565516846705,0.36635347642634375,0.5153067510548524,0.5668374261603376,99.54243633415125
0_1,0,1,32.67429682183205,0.38073100348559896,0.4262894514767932,0.46891839662447254,82.67653408131017
0_2,0,2,32.75786837069438,0.39116330140014743,0.27341440677966106,0.3007558474576272,53.185444233781205
0_3,0,3,32.72843895229638,0.40836949152542373,0.11267457627118645,0.1239420338983051,35.431091979398566
0_4,0,4,32.597759743588185,0.4094533529845247,0.0404728813559322,0.04452016949152543,39.83550660893068
0_5,0,5,32.55742528569596,0.39804574428887257,0.13318093220338983,0.14649902542372883,57.65089014021018
0_6,0,6,32.733825998330786,0.38865324244657334,0.32895889830508473,0.36185478813559324,69.77870624348269
0_7,0,7,33.02250703234883,0.41359554210236654,0.1310438818565401,0.1441482700421941,30.825479773026476
0_8,0,8,33.3221753460231,0.44022975313190865,0.00944491525423729,0.01038940677966102,47.219904996581
0_9,0,9,33.50547476851209,0.4003974283071231,0.19572170212765955,0.21529387234042552,64.83578075652427
0_10,0,10,33.69478212472799,0.385230913780398,0.3230415254237288,0.3553456779661017,68.27182829582085
0_11,0,11,33.61703834698438,0.41937541735461387,0.24910548523206757,0.27401603375527434,55.85781626962912
0_12,0,12,33.186593241551975,0.4930773172987975,0.030630638297872343,0.03369370212765958,37.076269888370604
0_13,0,13,32.92530900967985,0.525823555310952,0.23510295358649788,0.2586132489451477,49.395506283401936
0_14,0,14,32.91739495798322,0.47102748936170213,0.01474808510638298,0.01622289361702128,49.52811758858817
1_0,1,0,33.35925268817205,0.3819693257184967,0.33360762711864406,0.3669683898305085,103.51833763769118
1_1,1,1,33.04194095133955,0.3957299926308032,0.06718135593220338,0.07389949152542373,74.93976968021715
1_2,1,2,32.80226899945328,0.39692159174649966,0.23517118644067797,0.2586883050847458,52.29065355203919
1_3,1,3,32.93152988882817,0.40011497789240974,0.33071694915254235,0.3637886440677966,37.591560573901155
1_4,1,4,33.02510316999275,0.37207280766396467,0.3380877118644068,0.3718964830508475,45.3129151554431
1_5,1,5,33.172441817539834,0.35770123434045686,0.30198855932203383,0.33218741525423723,64.525857941579
1_6,1,6,33.42620284411919,0.3922907885040531,0.2479093220338983,0.27270025423728816,73.91935959508862
1_7,1,7,33.45236299435032,0.44718688282977154,0.08932542372881355,0.09825796610169492,28.31547669232902
1_8,1,8,33.36010754691341,0.4708992262343404,0.006871186440677965,0.007558305084745762,31.2715499683962
1_9,1,9,33.36089850461594,0.43087262343404564,0.0,0.0,46.05243619821839
1_10,1,10,33.37995193992493,0.42049924144310824,0.002734468085106383,0.003007914893617022,54.81360981718022
1_11,1,11,33.365579372992165,0.45643281134856306,0.003529661016949153,0.0038826271186440686,49.365891779883434
1_12,1,12,33.28479883266866,0.5177391672807663,0.0,0.0,35.39632506289724
1_13,1,13,33.07119017946166,0.5093340456890199,0.0,0.0,54.017395407466566
1_14,1,14,33.07151470588239,0.39545869507039527,0.0,0.0,53.35968017578125
